"file","SiteDescriptions","LocationInfo","MonthlyData","AnnualData","Metadata","Duplicate","NotRelevant"
"/DE/IndustrialWaterUse_modified.xlsx$Water Use",NA,NA,NA,NA,NA,NA,NA
"/DE/IndustrialWaterUse_modified.xlsx$Addresses",NA,NA,NA,NA,NA,NA,NA
"/DE/IndustrialWaterUse_modified.xlsx$DE_IN_facility_list",NA,NA,NA,NA,NA,NA,NA
"/DE/IndustrialWaterUse_modified.xlsx$notes",NA,NA,NA,NA,NA,NA,NA
"/DE/IndustrialWaterUse_USGS_Lovelace.xlsx$Water Use",NA,NA,NA,NA,NA,NA,NA
"/DE/IndustrialWaterUse_USGS_Lovelace.xlsx$Addresses",NA,NA,NA,NA,NA,NA,NA
"/DE/read_me_072220.docx",NA,NA,NA,NA,NA,NA,NA
"/DE/WaterUse_2004-2019_all_categories.xlsx$Sheet1",NA,NA,NA,NA,NA,NA,NA
"/FL/Mail_Dixon_INwu_FL.pdf",NA,NA,NA,NA,NA,NA,NA
"/FL/WU_Request_IndustrialWU.zip",NA,NA,NA,NA,NA,NA,NA
"/HI/Fw__[EXTERNAL]_FW__industrial_water-use_data_for_Hawaii_(Groundwater).zip",NA,NA,NA,NA,NA,NA,NA
"/HI/HI_IN_WU.xlsx$Public Well Index 2007201137",NA,NA,NA,NA,NA,NA,NA
"/HI/HI_IN_WU.xlsx$HI_IN_WU",NA,NA,NA,NA,NA,NA,NA
"/HI/HI_IN_WU.xlsx$HI_IN_facility_list",NA,NA,NA,NA,NA,NA,NA
"/HI/HI_IN_WU.xlsx$hoovers_2010",NA,NA,NA,NA,NA,NA,NA
"/HI/HI_IN_WU.xlsx$notes",NA,NA,NA,NA,NA,NA,NA
"/HI/HI_NPDES.csv",NA,NA,NA,NA,NA,NA,NA
"/HI/HI_NPDES.xlsx$HI_NPDES",NA,NA,NA,NA,NA,NA,NA
"/HI/HI_NPDES.xlsx$HI_NPDES_facility_list",NA,NA,NA,NA,NA,NA,NA
"/HI/HI_NPDES.xlsx$notes",NA,NA,NA,NA,NA,NA,NA
"/HI/Hydroelectric_WaterUse.xlsx$Hydroelectric Plants",NA,NA,NA,NA,NA,NA,NA
"/HI/Hydroelectric_WaterUse.xlsx$21",NA,NA,NA,NA,NA,NA,NA
"/HI/Hydroelectric_WaterUse.xlsx$50",NA,NA,NA,NA,NA,NA,NA
"/HI/Hydroelectric_WaterUse.xlsx$55",NA,NA,NA,NA,NA,NA,NA
"/HI/Hydroelectric_WaterUse.xlsx$56",NA,NA,NA,NA,NA,NA,NA
"/HI/Hydroelectric_WaterUse.xlsx$92",NA,NA,NA,NA,NA,NA,NA
"/HI/Hydroelectric_WaterUse.xlsx$93",NA,NA,NA,NA,NA,NA,NA
"/HI/Hydroelectric_WaterUse.xlsx$95",NA,NA,NA,NA,NA,NA,NA
"/HI/Hydroelectric_WaterUse.xlsx$97",NA,NA,NA,NA,NA,NA,NA
"/HI/Hydroelectric_WaterUse.xlsx$99",NA,NA,NA,NA,NA,NA,NA
"/HI/Hydroelectric_WaterUse.xlsx$139",NA,NA,NA,NA,NA,NA,NA
"/HI/Hydroelectric_WaterUse.xlsx$172",NA,NA,NA,NA,NA,NA,NA
"/HI/Hydroelectric_WaterUse.xlsx$173",NA,NA,NA,NA,NA,NA,NA
"/HI/Hydroelectric_WaterUse.xlsx$192",NA,NA,NA,NA,NA,NA,NA
"/HI/Hydroelectric_WaterUse.xlsx$193",NA,NA,NA,NA,NA,NA,NA
"/HI/Industrial Wells - Lists.xlsx$Public Well Index 2007201137",NA,NA,NA,NA,NA,NA,NA
"/HI/Industrial Wells - Lists.xlsx$quantity_pumped",NA,NA,NA,NA,NA,NA,NA
"/HI/Industrial Wells - Lists.xlsx$facilities_culled",NA,NA,NA,NA,NA,NA,NA
"/HI/Industrial Wells - Lists.xlsx$hoovers_2010",NA,NA,NA,NA,NA,NA,NA
"/HI/Industrial Wells - Lists.xlsx$notes",NA,NA,NA,NA,NA,NA,NA
"/HI/Industrial Wells - Quantity Pumped (2000 - 2019).xlsx$Sheet1",NA,NA,NA,NA,NA,NA,NA
"/HI/read_me.docx",NA,NA,NA,NA,NA,NA,NA
"/IA/IA_IN_WU.xlsx$IowaBusinessWaterUseAnnual",NA,NA,NA,NA,NA,NA,NA
"/IA/IA_IN_WU.xlsx$IA_IN_WU",NA,NA,NA,NA,NA,NA,NA
"/IA/IA_IN_WU.xlsx$IA_IN_facility_list",NA,NA,NA,NA,NA,NA,NA
"/IA/IA_IN_WU.xlsx$IA_NPDES_facility_list",NA,NA,NA,NA,NA,NA,NA
"/IA/IA_IN_WU.xlsx$IA_IN_facility_list_LEE",NA,NA,NA,NA,NA,NA,NA
"/IA/IA_IN_WU.xlsx$IA_hoovers_2010",NA,NA,NA,NA,NA,NA,NA
"/IA/IA_IN_WU.xlsx$notes",NA,NA,NA,NA,NA,NA,NA
"/IA/IA_NPDES.csv",NA,NA,NA,NA,NA,NA,NA
"/IA/IA_NPDES.xlsx$IA_NPDES",NA,NA,NA,NA,NA,NA,NA
"/IA/IA_NPDES.xlsx$IA_NPDES_facility_list",NA,NA,NA,NA,NA,NA,NA
"/IA/USGSIndustrialUse.xlsx$IowaBusinessWaterUseAnnual",NA,NA,NA,NA,NA,NA,NA
"/IL/isws-data-license-agreement-for-reference-10-12-18.pdf",NA,NA,NA,NA,NA,NA,NA
"/IL/lovelace_usgs_data_description_to_fill.docx",NA,NA,NA,NA,NA,NA,NA
"/IL/mou_fed.docx",NA,NA,NA,NA,NA,NA,NA
"/IL/mou_NonFed.docx",NA,NA,NA,NA,NA,NA,NA
"/IL/mou_table.doc",NA,NA,NA,NA,NA,NA,NA
"/IL/Signed SDWIS Agreement and Procedure.pdf",NA,NA,NA,NA,NA,NA,NA
"/IL/UM-ISWS_MOU_080720.docx",NA,NA,NA,NA,NA,NA,NA
"/IL/UM-USGS_MOU_FINAL_07302019.docx",NA,NA,NA,NA,NA,NA,NA
