"file","SiteDescriptions","LocationInfo","MonthlyData","AnnualData","Metadata","Duplicate","NotRelevant"
"/MI/Michigan_industrial_INWU_2010_2022.csv",NA,NA,NA,NA,NA,NA,NA
"/NV/FileNamesWithdrawalReports.xlsx$Sheet2",NA,NA,NA,NA,NA,NA,NA
"/NV/FileNamesWithdrawalReports.xlsx$nv_ind_culled per John",NA,NA,NA,NA,NA,NA,NA
"/NV/NV_IND_2000_2020_ldm.xlsx$IN_Withdawals2000_2020",NA,NA,NA,NA,NA,NA,NA
"/NV/NV_IND_2000_2020_ldm.xlsx$NV_IND",NA,NA,NA,NA,NA,NA,NA
"/NV/NV_IND_2000_2020_ldm.xlsx$NV_IND_culled",NA,NA,NA,NA,NA,NA,NA
"/NV/NV_IND_2000_2020_ldm.xlsx$Hoovers_2010",NA,NA,NA,NA,NA,NA,NA
"/NV/NV_IND_2000_2020_ldm.xlsx$notes",NA,NA,NA,NA,NA,NA,NA
"/SD/SD_IN_WU_2010_2019_LDM.xlsx$Readme",NA,NA,NA,NA,NA,NA,NA
"/SD/SD_IN_WU_2010_2019_LDM.xlsx$Culled_IND_FacilityList",NA,NA,NA,NA,NA,NA,NA
"/SD/SD_IN_WU_2010_2019_LDM.xlsx$Table_Culled_IND_2010_2019",NA,NA,NA,NA,NA,NA,NA
"/SD/SD_IN_WU_2010_2019_LDM.xlsx$SD_INplus_WU_2010_2019",NA,NA,NA,NA,NA,NA,NA
"/SD/SD_IN_WU_2010_2019_LDM.xlsx$SD_INplus_WU_Site Address",NA,NA,NA,NA,NA,NA,NA
"/SD/SD_IN_WU_2010_2019_LDM.xlsx$2019Withdrawals",NA,NA,NA,NA,NA,NA,NA
"/ME/ME_IN_WU_CAC.xlsx$Notes","0","0","0","0","0","0","1"
"/ME/ME_IN_WU_CAC.xlsx$final_snowmaking_CAC","1","1","0","1","1","0","0"
"/ME/ME_IN_WU_CAC.xlsx$wu_monthly_step1","0","0","0","0","0","0","1"
"/ME/ME_IN_WU_CAC.xlsx$wu_discharge","1","0","1","0","0","0","0"
"/ME/ME_IN_WU_CAC.xlsx$wu_monthly_simpleparse","0","0","0","0","0","0","1"
"/ME/ME_IN_WU_CAC.xlsx$wu_monthly_splitparse","0","0","0","0","0","0","1"
"/ME/ME_IN_WU_CAC.xlsx$wu_monthly_recombined","1","0","1","0","0","0","0"
"/LA/John Lovelace_20200520_2015 IN Site-Specific WD.xlsx$SIC Group","0","0","0","0","0","1","0"
"/LA/John Lovelace_20200624_2000-2019_IN Site-Specific WD.xlsx$SIC Group","0","0","0","0","0","1","0"
"/SD/SD_IN_WU_2010_2019_LDM.xlsx$Sheet1",NA,NA,NA,NA,NA,NA,NA
"/KS/K11963_CAC.xlsx$NOTES","0","0","0","0","0","0","1"
"/KS/K11963_CAC.xlsx$PART A","0","1","0","0","1","0","0"
"/KS/K11963_CAC.xlsx$PART B - IND","1","0","1","0","1","0","0"
