"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","Zip2","Lat","Lon","Datum","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected","DataSource"
"MN","WD","GW",NA,NA,"","NA","NA","2004-4014","T105N-R15W-S15",NA,"1",NA,"256065","NA",NA,NA,"Livestock Watering",NA,NA,NA,"NA","NA","NA","zumbro river",NA,NA,"Olmsted",NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28228,"mgal",NA,NA,"/MN/MN_IN_WU.xlsx$MPARS_Index_Permits-IN, /MN/read_me.docx"
"MN","WD","GW","IR",NA,"","NA","NA","1989-6468","T32N-R23W-S15",NA,"1",NA,"450537","NA",NA,NA,"Sod Farm Irrigation",NA,NA,NA,"cfig","tunnel city wonewoc","cfig","mississippi river twin cities",NA,NA,"Anoka",NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06608,"mgal",NA,NA,"/MN/MN_IN_WU.xlsx$MPARS_Index_Permits-IN, /MN/read_me.docx"
"MN","WD","GW","IR",NA,"","field 19 and 20","NA","1977-3715","T33N-R28W-S6",NA,"1",NA,"NA","NA",NA,NA,"Agricultural Crop Irrigation",NA,NA,NA,"NA","NA","NA","mississippi river st cloud",NA,NA,"Sherburne",NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"mgal",NA,NA,"/MN/MN_IN_WU.xlsx$MPARS_Index_Permits-IN, /MN/read_me.docx"
"MN","WD","GW","IR",NA,"","clear lake field","NA","1991-3308","T34N-R30W-S12",NA,"1",NA,"471991","NA",NA,NA,"Agricultural Crop Irrigation",NA,NA,NA,"qbaa","quaternary buried artesian","qbaa","mississippi river st cloud",NA,NA,"Sherburne",NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"mgal",NA,NA,"/MN/MN_IN_WU.xlsx$MPARS_Index_Permits-IN, /MN/read_me.docx"
"MN","WD","SW",NA,NA,"10000 lakes aquaculture","NA","NA","1998-3036","T127N-R35W-S3",NA,"1",NA,"NA","NA",NA,NA,"Aquaculture",NA,NA,NA,"sauk river","NA","sauk river","sauk river",NA,NA,"Todd",NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"mgal",NA,NA,"/MN/MN_IN_WU.xlsx$MPARS_Index_Permits-IN, /MN/read_me.docx"
"MN","WD","GW",NA,NA,"3m company","3m woodbury well site","NA","1967-0674","T27N-R21W-S2",NA,"2",NA,"231876","NA",NA,NA,"Pollution Containment",NA,NA,NA,"opdccjdn","prairie du chien jordan","opdccjdn","mississippi river twin cities",NA,NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.057,"mgal",NA,NA,"/MN/MN_IN_WU.xlsx$MPARS_Index_Permits-IN, /MN/read_me.docx"
"MN","WD","GW","PS",NA,"3m company","3m cottage grove manufacturing site","NA","1960-0687","T27N-R21W-S27",NA,"site well 2",NA,"231868","NA",NA,NA,"Commercial/Institutional Water Supply",NA,NA,NA,"cjdn","jordan","cjdn","mississippi river twin cities",NA,NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"mgal",NA,NA,"/MN/MN_IN_WU.xlsx$MPARS_Index_Permits-IN, /MN/read_me.docx"
"MN","WD","GW","PS",NA,"3m company","3m cottage grove manufacturing site","NA","1960-0687","T27N-R21W-S27",NA,"site well 3",NA,"231869","NA",NA,NA,"Commercial/Institutional Water Supply",NA,NA,NA,"cjdn","jordan","cjdn","mississippi river twin cities",NA,NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"mgal",NA,NA,"/MN/MN_IN_WU.xlsx$MPARS_Index_Permits-IN, /MN/read_me.docx"
"MN","WD","GW","PS",NA,"3m company","3m cottage grove manufacturing site","NA","1960-0687","T27N-R21W-S27",NA,"site well 4",NA,"231870","NA",NA,NA,"Commercial/Institutional Water Supply",NA,NA,NA,"cjdncfrn","jordan tunnel city","cjdncfrn","mississippi river twin cities",NA,NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"mgal",NA,NA,"/MN/MN_IN_WU.xlsx$MPARS_Index_Permits-IN, /MN/read_me.docx"
"MN","WD","GW","IN",NA,"3m company","3m cottage grove manufacturing site","NA","1960-0687","T27N-R21W-S27",NA,"site well 2",NA,"231868","NA",NA,NA,"Industrial Process Cooling - Once Through",NA,NA,NA,"cjdn","jordan","cjdn","mississippi river twin cities",NA,NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.644,"mgal",NA,NA,"/MN/MN_IN_WU.xlsx$MPARS_Index_Permits-IN, /MN/read_me.docx"
