"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","Zip2","Lat","Lon","Datum","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected","FIPS5code","SITESELECTION_FACILITYID","SITESELECTION_NPDES_ID","SITESELECTION_NAME","SITESELECTION_ADDRESS","SITESELECTION_ADDRESS_Fix","SITESELECTION_ADRSFLAG","SITESELECTION_CITY","SITESELECTION_STATE","SITESELECTION_COUNTY","SITESELECTION_ZIP","SITESELECTION_FLAGZIP","SITESELECTION_PHONE","SITESELECTION_LATITUDE","SITESELECTION_LONGITUDE","SITESELECTION_NAICS","SITESELECTION_NAICSDESCR","SITESELECTION_SIC","SITESELECTION_SICDESCR","SITESELECTION_FIPS","SITESELECTION_EMP","SITESELECTION_TotPerson","SITESELECTION_Area","SITESELECTION_AnnSaleVol","SITESELECTION_JobsReported","SITESELECTION_ZIP_PHONE","SITESELECTION_CITY_ADDRESS","SITESELECTION_LL_Src","SITESELECTION_DATASET_MATCHES_ALL2","SITESELECTION_NEW_REC","DataSource"
"MO","NA","GW",NA,"NA","3M CORPORATION","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"NA","","NA","NA","NA","NA",NA,NA,"NA",NA,"5400 Route B","Columbia","NA",NA,NA,"NA",NA,NA,"39.008000000000003","-92.27","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"MO","NA","GW",NA,"NA","ADM","NA","PRAIRIE PRIDE INCORPORATED","NA","NA",NA,"NA",NA,"NA",NA,"NA","1629","NA","NA","NA","NA",NA,NA,"NA",NA,"17700 S Highway T","Deerfield","NA","MO",NA,"NA","Deerfield",NA,"37.833055999999999","-94.579443999999995","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,"P_42661","MO0134139","PRAIRIE PRIDE, INC.","17700 SOUTH HIGHWAY T","17700 S HIGHWAY T","UPDATED","DEERFIELD","MO","VERNON","64741","GOOD","(417) 927-3400","37.8346926","-94.5834799","N/A","NOT AVAILABLE","2899","NA","29217","45","58","0","0","NA","64741 _ (417) 927-3400","DEERFIELD_17700 S HIGHWAY T","PinPt","Pin, Bus, DB, FRS, NPDES","N","Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, USEPA_HIFLD_EIA_PPP_facility_v6.csv"
"MO","NA","GW",NA,"NA","AG PROCESSING INCORPORATED","NA","AG PROCESSING INCORPORATED","NA","NA",NA,"NA",NA,"NA",NA,"NA","1629","NA","NA","NA","NA",NA,NA,"NA",NA,"900 Sw Lower Lake Road","Saint Joseph","NA","MO",NA,"NA","Saint Joseph",NA,"39.728507","-94.872337000000002","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,"P_42341","NA","AG PROCESSING, INC.","900 LOWER LAKE ROAD","900 LOWER LAKE ROAD","OK","SAINT JOSEPH","MO","BUCHANAN","64504","GOOD","(816) 238-1700","39.7277694","-94.8699424","311222","SOYBEAN PROCESSING","2075","NA","29021","160","NA","NA","NA","NA","64504 _ (816) 238-1700","SAINT JOSEPH_900 LOWER LAKE ROAD","PinPt","Pin, Bus","N","Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, USEPA_HIFLD_EIA_PPP_facility_v6.csv"
"MO","NA","GW",NA,"NA","AJINOMOTO FOODS","NA","SPECIALTY BRANDS INCORPORATED","NA","NA",NA,"NA",NA,"NA",NA,"NA","2038","NA","NA","NA","NA",NA,NA,"NA",NA,"5691 S Davinci Lane","Carthage","NA","MO",NA,"NA","Carthage",NA,"37.101309999999998","-94.313869999999994","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,"E_110017985144","MOR130150","SPECIALTY BRANDS INC","5691 S. DAVINCI LN.","5691 S DAVINCI LANE","UPDATED","CARTHAGE","MO","JASPER","64836","GOOD","(417) 952-4002","37.10225","-94.317056","31199","ALL OTHER FOOD MANUFACTURING","NA","NA","NA","NA","NA","NA","NA","NA","64836 _ (417) 952-4002","CARTHAGE_5691 S DAVINCI LANE","FRS","FRS, NPDES","N","Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, USEPA_HIFLD_EIA_PPP_facility_v6.csv"
"MO","NA","GW",NA,"NA","AMRI SPRINGFIELD FORMERLY EUTICALS INCORPORATED","NA","ARCHIMICA INCORPORATED","NA","NA",NA,"NA",NA,"NA",NA,"NA","2833 2869 (inudstrial)","NA","NA","NA","NA",NA,NA,"NA",NA,"2460 W Bennett St","Springfield","NA","MO",NA,"NA","Springfield",NA,"37.188450000000003","-93.326099999999997","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,"P_43818","MO0001970","ARCHIMICA, INC.","2460 WEST BENNETT STREET","2460 W BENNETT ST","UPDATED","SPRINGFIELD","MO","GREENE","65807","GOOD","(417) 866-7291","37.1896905","-93.3257701","325412","PHARMACEUTICAL PREPARATION MANUFACTURING","2834","NA","29077","115","NA","NA","NA","NA","65807 _ (417) 866-7291","SPRINGFIELD_2460 W BENNETT ST","PinPt","Pin, Bus, FRS, NPDES","N","Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, USEPA_HIFLD_EIA_PPP_facility_v6.csv"
"MO","NA","SW",NA,"NA","ASHLEY ENERGY LIMITED LIABILITY COMPANY ASHLEY PLANT","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"NA","4939 4961 (Combition Utilities; Steam And Air-Conditioning Supply)","NA","NA","NA","NA",NA,NA,"NA",NA,"1 Ashley Place","St. Louis","NA",NA,NA,"NA",NA,NA,"38.635800000000003","-90.180080000000004","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"MO","NA","GW",NA,"NA","BASF CORPORATION HANNIBAL SITE","NA","AMVAC CHEMICAL CORPORATION HANNIBAL PLANT","NA","NA",NA,"NA",NA,"NA",NA,"924120;333111","9512;2879","NA","NA","NA","NA",NA,NA,"NA",NA,"3150 Highway Jj","Palmyra","NA","MO",NA,"NA","Palmyra",NA,"39.839019999999998","-91.436160000000001","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,"E_110043694543","NA","AMVAC CHEMICAL CORP. HANNIBAL PLANT","3150 HWY JJ","3150 HIGHWAY JJ","UPDATED","PALMYRA","MO","MARION","63461","GOOD","(573) 822-5477","39.83192","-91.432436","32532","PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING","NA","NA","NA","NA","NA","NA","NA","NA","63461 _ (573) 822-5477","PALMYRA_3150 HIGHWAY JJ","FRS","FRS","N","Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, USEPA_HIFLD_EIA_PPP_facility_v6.csv"
"MO","NA","GW",NA,"NA","BASF CORPORATION HANNIBAL SITE","NA","BASF CORPORATION","NA","NA",NA,"NA",NA,"NA",NA,"924120;333111","9512;2879","NA","NA","NA","NA",NA,NA,"NA",NA,"3150 Highway Jj","Palmyra","NA","MO",NA,"NA","Palmyra",NA,"39.839019999999998","-91.436160000000001","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,"P_71395","MO0001716","BASF CORP.","3150 HIGHWAY JJ","3150 HIGHWAY JJ","OK","PALMYRA","MO","MARION","63461","GOOD","(573) 769-8500","39.8349757","-91.4367132","333111","FARM MACHINERY AND EQUIPMENT MANUFACTURING","2879","NA","29127","350","NA","NA","NA","NA","63461 _ (573) 769-8500","PALMYRA_3150 HIGHWAY JJ","PinPt","Pin, Bus, FRS and/or NPDES","N","Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, USEPA_HIFLD_EIA_PPP_facility_v6.csv"
"MO","NA","GW",NA,"NA","BAYER CROPSCIENCE LIMITED PARTNERSHIP","NA","BAYER CROPSCIENCE","NA","NA",NA,"NA",NA,"NA",NA,"325320","1692;2879","NA","NA","NA","NA",NA,NA,"NA",NA,"8400 Hawthorne Road","Kansas City","NA","MO",NA,"NA","Kansas City",NA,"39.121853000000002","-94.471136000000001","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,"P_42557","NA","BAYER CROPSCIENCE","8400 HAWTHORNE ROAD","8400 HAWTHORNE ROAD","OK","KANSAS CITY","MO","JACKSON","64120","GOOD","(816) 242-2000","39.1249842","-94.482018","325320","PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING","2879","NA","29095","500","750","0","0","NA","64120 _ (816) 242-2000","KANSAS CITY_8400 HAWTHORNE ROAD","PinPt","Pin, Bus, DB","N","Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, USEPA_HIFLD_EIA_PPP_facility_v6.csv"
"MO","NA","GW",NA,"NA","BCP INGREDIENTS INCORPORATED","NA","BCP INGREDIENTS INCORPORATED","NA","NA",NA,"NA",NA,"NA",NA,"NA","","NA","NA","NA","NA",NA,NA,"NA",NA,"NA","Vero","NA","MO",NA,"NA","Verona",NA,"36.9664","-93.798109999999994","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,"P_43481","MO0002356","BCP INGREDIENTS, INC.","299 EXTENSION STREET","299 EXTENSION ST","UPDATED","VERONA","MO","LAWRENCE","65769","GOOD","(417) 498-2241","36.9600546","-93.7985729","311119","OTHER ANIMAL FOOD MANUFACTURING","2099","NA","29109","100","68","0","0","NA","65769 _ (417) 498-2241","VERONA_299 EXTENSION ST","PinPt","Pin, Bus, DB, FRS, NPDES","N","Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, USEPA_HIFLD_EIA_PPP_facility_v6.csv"
