"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","Zip2","Lat","Lon","Datum","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected"
"DE",NA,"GW",NA,NA,"allen harim foods limited liability corporation","NA",NA,NA,NA,NA,NA,NA,NA,NA,"311615","2015",NA,NA,NA,NA,NA,NA,NA,NA,"18752 Harbeson Road","NA",NA,"DE",NA,NA,NA,NA,"38.720643000000003","-75.287794000000005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE",NA,"GW",NA,NA,"bear materials limited liability corporation","NA",NA,NA,NA,NA,NA,NA,NA,NA,"327320","3273",NA,NA,NA,NA,NA,NA,NA,NA,"600 Industrial Road","NA",NA,"DE",NA,NA,NA,NA,"39.444572000000001","-75.722284999999999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE",NA,"SW",NA,NA,"chemours fc limited liability corporation","NA",NA,NA,NA,NA,NA,NA,NA,NA,"325130","2816",NA,NA,NA,NA,NA,NA,NA,NA,"104 Hay Road","NA",NA,"DE",NA,NA,NA,NA,"39.74823","-75.496009999999998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE",NA,"GW",NA,NA,"croda incorporated","NA",NA,NA,NA,NA,NA,NA,NA,NA,"325199","2869",NA,NA,NA,NA,NA,NA,NA,NA,"315 Cherry Lane","NA",NA,"DE",NA,NA,NA,NA,"39.691881000000002","-75.531210999999999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE",NA,"SW",NA,NA,"delaware city refining company limited liability corporation","NA",NA,NA,NA,NA,NA,NA,NA,NA,"324110","2911",NA,NA,NA,NA,NA,NA,NA,NA,"4550 Wrangle Hill Road","NA",NA,"DE",NA,NA,NA,NA,"39.579444000000002","-75.588333000000006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE",NA,"GW",NA,NA,"dow reichhold specialty latex limited liability corporation","NA",NA,NA,NA,NA,NA,NA,NA,NA,"325212","2822",NA,NA,NA,NA,NA,NA,NA,NA,"144 Fork Branch Road","NA",NA,"DE",NA,NA,NA,NA,"39.781208999999997","-75.690427999999997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE",NA,"SW",NA,NA,"e i dupont edge moor plant","NA",NA,NA,NA,NA,NA,NA,NA,NA,"325130","2816",NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"DE",NA,NA,NA,NA,"39.738031999999997","-75.502933999999996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE",NA,"GW",NA,NA,"energizer personal care","NA",NA,NA,NA,NA,NA,NA,NA,NA,"325620","2844",NA,NA,NA,NA,NA,NA,NA,NA,"Playtex Products, Inc, Po Box 7016","NA",NA,"DE",NA,NA,NA,NA,"39.16348","-75.515668000000005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE",NA,"GW",NA,NA,"hanover foods corporation","NA",NA,NA,NA,NA,NA,NA,NA,NA,"311421","2033",NA,NA,NA,NA,NA,NA,NA,NA,"Po Box 1150, Route 6 & Duck Creek Road","NA",NA,"DE",NA,NA,NA,NA,"39.287667999999996","-75.641977999999995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE",NA,"GW",NA,NA,"harim millsboro limited liability corporation","NA",NA,NA,NA,NA,NA,NA,NA,NA,"311615","2015",NA,NA,NA,NA,NA,NA,NA,NA,"29984 Pinnacle Way","NA",NA,"DE",NA,NA,NA,NA,"38.575561999999998","-75.273426000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE",NA,"SW",NA,NA,"hercules incorporated","NA",NA,NA,NA,NA,NA,NA,NA,NA,"325998","2899",NA,NA,NA,NA,NA,NA,NA,NA,"500 Hercules Road, Research Center","NA",NA,"DE",NA,NA,NA,NA,"39.755949999999999","-75.634139000000005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
