"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","SourceNumber2","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","County2","State2","Zip2","Lat","Lon","Datum","Projection","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected","FIPS5code","SITESELECTION_FACILITYID","SITESELECTION_NPDES_ID","SITESELECTION_NAME","SITESELECTION_ADDRESS","SITESELECTION_ADDRESS_Fix","SITESELECTION_ADRSFLAG","SITESELECTION_CITY","SITESELECTION_STATE","SITESELECTION_COUNTY","SITESELECTION_ZIP","SITESELECTION_FLAGZIP","SITESELECTION_PHONE","SITESELECTION_LATITUDE","SITESELECTION_LONGITUDE","SITESELECTION_NAICS","SITESELECTION_NAICSDESCR","SITESELECTION_SIC","SITESELECTION_SICDESCR","SITESELECTION_EMP","SITESELECTION_TotPerson","SITESELECTION_Area","SITESELECTION_AnnSaleVol","SITESELECTION_JobsReported","SITESELECTION_ZIP_PHONE","SITESELECTION_CITY_ADDRESS","SITESELECTION_LL_Src","SITESELECTION_DATASET_MATCHES_ALL2","SITESELECTION_NEW_REC","SITESELECTION_STATE_NAME","SITESELECTION_StateFIPS","SITESELECTION_CNTY_FIPS","SITESELECTION_ST_CNTY_FIPS","SITESELECTION_X","SITESELECTION_CDC_Region","SITESELECTION_huc2","DataSource"
"MS","WD","GW","IN",NA,"AKZO NOBEL",NA,NA,"F15027",NA,NA,NA,NA,NA,NA,NA,NA,"","15027 (LOCAL 16), 15996 (LOCAL 17).  THESE ARE THEIR GORDO WELLS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowndes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769999980926514,"MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/MS/USGS Data Request_Industrial Use 2000-2019.xlsx$MS_IN_WU, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"MS","WD","GW","IN",NA,"AKZO NOBEL",NA,NA,"F15027",NA,NA,NA,NA,NA,NA,NA,NA,"","15027 (LOCAL 16), 15996 (LOCAL 17).  THESE ARE THEIR GORDO WELLS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowndes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.913999974727631,"MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/MS/USGS Data Request_Industrial Use 2000-2019.xlsx$MS_IN_WU, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"MS","WD","GW","IN",NA,"AKZO NOBEL",NA,NA,"F15027",NA,NA,NA,NA,NA,NA,NA,NA,"","15027 (LOCAL 16), 15996 (LOCAL 17).  THESE ARE THEIR GORDO WELLS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowndes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35399997234344,"MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/MS/USGS Data Request_Industrial Use 2000-2019.xlsx$MS_IN_WU, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"MS","WD","GW","IN",NA,"AKZO NOBEL",NA,NA,"F15027",NA,NA,NA,NA,NA,NA,NA,NA,"","15027 (LOCAL 16), 15996 (LOCAL 17).  THESE ARE THEIR GORDO WELLS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowndes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37000000476837,"MGD","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/MS/USGS Data Request_Industrial Use 2000-2019.xlsx$MS_IN_WU, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"MS","WD","GW","IN",NA,"AKZO NOBEL",NA,NA,"F15027",NA,NA,NA,NA,NA,NA,NA,NA,"","15027 (LOCAL 16), 15996 (LOCAL 17).  THESE ARE THEIR GORDO WELLS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowndes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37000000476837,"MGD","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/MS/USGS Data Request_Industrial Use 2000-2019.xlsx$MS_IN_WU, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"MS","WD","GW","IN",NA,"AKZO NOBEL",NA,NA,"F15027",NA,NA,NA,NA,NA,NA,NA,NA,"","15027 (LOCAL 16), 15996 (LOCAL 17).  THESE ARE THEIR GORDO WELLS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowndes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41100001335144,"MGD","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/MS/USGS Data Request_Industrial Use 2000-2019.xlsx$MS_IN_WU, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"MS","WD","GW","IN",NA,"AKZO NOBEL",NA,NA,"F15027",NA,NA,NA,NA,NA,NA,NA,NA,"","15027 (LOCAL 16), 15996 (LOCAL 17).  THESE ARE THEIR GORDO WELLS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowndes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493000000715256,"MGD","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/MS/USGS Data Request_Industrial Use 2000-2019.xlsx$MS_IN_WU, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"MS","WD","GW","IN",NA,"AKZO NOBEL",NA,NA,"F15027",NA,NA,NA,NA,NA,NA,NA,NA,"","15027 (LOCAL 16), 15996 (LOCAL 17).  THESE ARE THEIR GORDO WELLS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowndes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465999990701675,"MGD","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/MS/USGS Data Request_Industrial Use 2000-2019.xlsx$MS_IN_WU, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"MS","WD","GW","IN",NA,"AKZO NOBEL",NA,NA,"F15027",NA,NA,NA,NA,NA,NA,NA,NA,"","15027 (LOCAL 16), 15996 (LOCAL 17).  THESE ARE THEIR GORDO WELLS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowndes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.731,"MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/MS/USGS Data Request_Industrial Use 2000-2019.xlsx$MS_IN_WU, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"MS","WD","GW","IN",NA,"AKZO NOBEL",NA,NA,"F15027",NA,NA,NA,NA,NA,NA,NA,NA,"","15027 (LOCAL 16), 15996 (LOCAL 17).  THESE ARE THEIR GORDO WELLS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowndes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,"MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/MS/USGS Data Request_Industrial Use 2000-2019.xlsx$MS_IN_WU, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"MS","WD","GW","IN",NA,"AKZO NOBEL",NA,NA,"F15027",NA,NA,NA,NA,NA,NA,NA,NA,"","15027 (LOCAL 16), 15996 (LOCAL 17).  THESE ARE THEIR GORDO WELLS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowndes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.334,"MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/MS/USGS Data Request_Industrial Use 2000-2019.xlsx$MS_IN_WU, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"MS","TR",NA,"IN",NA,"ALCORN COMPANY WA INDUSTRIAL 22",NA,NA,"928000000000022",NA,NA,"FA WDS ALCORN COMPANY W A 20 ALCORN COUNTY MS",NA,"928000000000022",NA,NA,NA,"4941","Water Supply","80102070","8010207030","80102070306",NA,NA,"CLEAR CREEK TUSCUMBIA RIVER CANAL",NA,NA,NA,"Alcorn",NA,NA,NA,NA,NA,NA,NA,"34.844534887012799",NA,"NAD27",NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,"Mgal per day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712"
"MS","TR",NA,"IN",NA,"ALCORN COMPANY WA INDUSTRIAL 22",NA,NA,"928000000000022",NA,NA,"FA WDS ALCORN COMPANY W A 20 ALCORN COUNTY MS",NA,"928000000000022",NA,NA,NA,"4941","Water Supply","80102070","8010207030","80102070306",NA,NA,"CLEAR CREEK TUSCUMBIA RIVER CANAL",NA,NA,NA,"Alcorn",NA,NA,NA,NA,NA,NA,NA,"34.844534887012799",NA,"NAD27",NA,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,"Mgal per day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712"
"MS","TR",NA,"IN",NA,"ALCORN COMPANY WA INDUSTRIAL 22",NA,NA,"928000000000022",NA,NA,"FA WDS ALCORN COMPANY W A 20 ALCORN COUNTY MS",NA,"928000000000022",NA,NA,NA,"4941","Water Supply","80102070","8010207030","80102070306",NA,NA,"CLEAR CREEK TUSCUMBIA RIVER CANAL",NA,NA,NA,"Alcorn",NA,NA,NA,NA,NA,NA,NA,"34.844534887012799",NA,"NAD27",NA,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,"Mgal per day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712"
"MS","TR",NA,"IN",NA,"ALCORN COMPANY WA INDUSTRIAL 22",NA,NA,"928000000000022",NA,NA,"FA WDS ALCORN COMPANY W A 20 ALCORN COUNTY MS",NA,"928000000000022",NA,NA,NA,"4941","Water Supply","80102070","8010207030","80102070306",NA,NA,"CLEAR CREEK TUSCUMBIA RIVER CANAL",NA,NA,NA,"Alcorn",NA,NA,NA,NA,NA,NA,NA,"34.844534887012799",NA,"NAD27",NA,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,"Mgal per day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712"
"MS","TR",NA,"IN",NA,"ALCORN COMPANY WA INDUSTRIAL 22",NA,NA,"928000000000022",NA,NA,"FA WDS ALCORN COMPANY W A 20 ALCORN COUNTY MS",NA,"928000000000022",NA,NA,NA,"4941","Water Supply","80102070","8010207030","80102070306",NA,NA,"CLEAR CREEK TUSCUMBIA RIVER CANAL",NA,NA,NA,"Alcorn",NA,NA,NA,NA,NA,NA,NA,"34.844534887012799",NA,"NAD27",NA,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"Mgal per day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712"
"MS","TR",NA,"IN",NA,"ALCORN COMPANY WA INDUSTRIAL 22",NA,NA,"928000000000022",NA,NA,"FA WDS ALCORN COMPANY W A 20 ALCORN COUNTY MS",NA,"928000000000022",NA,NA,NA,"4941","Water Supply","80102070","8010207030","80102070306",NA,NA,"CLEAR CREEK TUSCUMBIA RIVER CANAL",NA,NA,NA,"Alcorn",NA,NA,NA,NA,NA,NA,NA,"34.844534887012799",NA,"NAD27",NA,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"Mgal per day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712"
"MS","TR",NA,"IN",NA,"ALCORN COMPANY WA INDUSTRIAL 22",NA,NA,"928000000000022",NA,NA,"FA WDS ALCORN COMPANY W A 20 ALCORN COUNTY MS",NA,"928000000000022",NA,NA,NA,"4941","Water Supply","80102070","8010207030","80102070306",NA,NA,"CLEAR CREEK TUSCUMBIA RIVER CANAL",NA,NA,NA,"Alcorn",NA,NA,NA,NA,NA,NA,NA,"34.844534887012799",NA,"NAD27",NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,"Mgal per day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712"
"MS","WD",NA,"IN",NA,"ALLENS INCORPORATED",NA,NA,"P15281",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sunflower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18299999833107,"MGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/MS/USGS Data Request_Industrial Use 2000-2019.xlsx$MS_IN_WU, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
