"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","SourceNumber2","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","County2","State2","Zip2","Lat","Lon","Datum","Projection","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected","FIPS5code","SITESELECTION_FACILITYID","SITESELECTION_NPDES_ID","SITESELECTION_NAME","SITESELECTION_ADDRESS","SITESELECTION_ADDRESS_Fix","SITESELECTION_ADRSFLAG","SITESELECTION_CITY","SITESELECTION_STATE","SITESELECTION_COUNTY","SITESELECTION_ZIP","SITESELECTION_FLAGZIP","SITESELECTION_PHONE","SITESELECTION_LATITUDE","SITESELECTION_LONGITUDE","SITESELECTION_NAICS","SITESELECTION_NAICSDESCR","SITESELECTION_SIC","SITESELECTION_SICDESCR","SITESELECTION_EMP","SITESELECTION_TotPerson","SITESELECTION_Area","SITESELECTION_AnnSaleVol","SITESELECTION_JobsReported","SITESELECTION_ZIP_PHONE","SITESELECTION_CITY_ADDRESS","SITESELECTION_LL_Src","SITESELECTION_DATASET_MATCHES_ALL2","SITESELECTION_NEW_REC","SITESELECTION_STATE_NAME","SITESELECTION_StateFIPS","SITESELECTION_CNTY_FIPS","SITESELECTION_ST_CNTY_FIPS","SITESELECTION_X","SITESELECTION_CDC_Region","SITESELECTION_huc2","DataSource"
"MA","WD",NA,"IN",NA,"10 PLAIN STREET LIMITED LIABILITY COMPANY",NA,NA,NA,"31904002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOSTON HARBOR",NA,NA,"Braintree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,"mgd","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/MA/2. Water Usage by Facility_2000-2018.xlsx$2002"
"MA","WD",NA,"IN",NA,"1600 OSGOOD STREET LIMITED LIABILITY COMPANY","1600 OSGOOD STREET LIMITED LIABILITY COMPANY","1600 OSGOOD STREET LIMITED LIABILITY COMPANY","9P31321001","31321002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MERRIMACK",NA,"1600 Osgood St","North Andover","Essex","MA",NA,"1600 Osgood St","North Andover","ESSEX","MA",NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,"mgd","Metered",NA,NA,"E_110000309942","MA0001261","1600 OSGOOD STREET LLC","1600 OSGOOD ST.","1600 OSGOOD ST","UPDATED","NORTH ANDOVER","MA","ESSEX","01845-1035","DIFF","(508) 960-3489","42.73063","-71.11278","3342","COMMUNICATIONS EQUIPMENT MANUFACTURING","NA","NA","NA","NA","NA","NA","NA","01845 _ (508) 960-3489","NORTH ANDOVER_1600 OSGOOD ST","FRS","FRS, NPDES","N","Massachusetts","25","9","25009","NA","New_England","01","/MA/2. Water Usage by Facility_2000-2018.xlsx$2000, USEPA_HIFLD_EIA_PPP_facility_v7.csv"
"MA","WD",NA,"IN",NA,"1600 OSGOOD STREET LIMITED LIABILITY COMPANY","1600 OSGOOD STREET LIMITED LIABILITY COMPANY","1600 OSGOOD STREET LIMITED LIABILITY COMPANY","9P31321001","31321002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MERRIMACK",NA,"1600 Osgood St","North Andover","Essex","MA",NA,"1600 Osgood St","North Andover","ESSEX","MA",NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,"mgd","Metered",NA,NA,"E_110000309942","MA0001261","1600 OSGOOD STREET LLC","1600 OSGOOD ST.","1600 OSGOOD ST","UPDATED","NORTH ANDOVER","MA","ESSEX","01845-1035","DIFF","(508) 960-3489","42.73063","-71.11278","3342","COMMUNICATIONS EQUIPMENT MANUFACTURING","NA","NA","NA","NA","NA","NA","NA","01845 _ (508) 960-3489","NORTH ANDOVER_1600 OSGOOD ST","FRS","FRS, NPDES","N","Massachusetts","25","9","25009","NA","New_England","01","/MA/2. Water Usage by Facility_2000-2018.xlsx$2001, USEPA_HIFLD_EIA_PPP_facility_v7.csv"
"MA","WD",NA,"IN",NA,"1600 OSGOOD STREET LIMITED LIABILITY COMPANY","1600 OSGOOD STREET LIMITED LIABILITY COMPANY","1600 OSGOOD STREET LIMITED LIABILITY COMPANY","9P31321001","31321002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MERRIMACK",NA,"1600 Osgood St","North Andover","Essex","MA",NA,"1600 Osgood St","North Andover","ESSEX","MA",NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,"mgd","Metered",NA,NA,"E_110000309942","MA0001261","1600 OSGOOD STREET LLC","1600 OSGOOD ST.","1600 OSGOOD ST","UPDATED","NORTH ANDOVER","MA","ESSEX","01845-1035","DIFF","(508) 960-3489","42.73063","-71.11278","3342","COMMUNICATIONS EQUIPMENT MANUFACTURING","NA","NA","NA","NA","NA","NA","NA","01845 _ (508) 960-3489","NORTH ANDOVER_1600 OSGOOD ST","FRS","FRS, NPDES","N","Massachusetts","25","9","25009","NA","New_England","01","/MA/2. Water Usage by Facility_2000-2018.xlsx$2002, USEPA_HIFLD_EIA_PPP_facility_v7.csv"
"MA","WD",NA,"IN",NA,"1600 OSGOOD STREET LIMITED LIABILITY COMPANY","1600 OSGOOD STREET LIMITED LIABILITY COMPANY","1600 OSGOOD STREET LIMITED LIABILITY COMPANY","9P31321001","31321002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MERRIMACK",NA,"1600 Osgood St","North Andover","Essex","MA",NA,"1600 Osgood St","North Andover","ESSEX","MA",NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"mgd","Metered",NA,NA,"E_110000309942","MA0001261","1600 OSGOOD STREET LLC","1600 OSGOOD ST.","1600 OSGOOD ST","UPDATED","NORTH ANDOVER","MA","ESSEX","01845-1035","DIFF","(508) 960-3489","42.73063","-71.11278","3342","COMMUNICATIONS EQUIPMENT MANUFACTURING","NA","NA","NA","NA","NA","NA","NA","01845 _ (508) 960-3489","NORTH ANDOVER_1600 OSGOOD ST","FRS","FRS, NPDES","N","Massachusetts","25","9","25009","NA","New_England","01","/MA/2. Water Usage by Facility_2000-2018.xlsx$2003, USEPA_HIFLD_EIA_PPP_facility_v7.csv"
"MA","WD",NA,"IN",NA,"1600 OSGOOD STREET LIMITED LIABILITY COMPANY","1600 OSGOOD STREET LIMITED LIABILITY COMPANY","1600 OSGOOD STREET LIMITED LIABILITY COMPANY","9P31321001","31321002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MERRIMACK",NA,"1600 Osgood St","North Andover","Essex","MA",NA,"1600 Osgood St","North Andover","ESSEX","MA",NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,"mgd","Metered",NA,NA,"E_110000309942","MA0001261","1600 OSGOOD STREET LLC","1600 OSGOOD ST.","1600 OSGOOD ST","UPDATED","NORTH ANDOVER","MA","ESSEX","01845-1035","DIFF","(508) 960-3489","42.73063","-71.11278","3342","COMMUNICATIONS EQUIPMENT MANUFACTURING","NA","NA","NA","NA","NA","NA","NA","01845 _ (508) 960-3489","NORTH ANDOVER_1600 OSGOOD ST","FRS","FRS, NPDES","N","Massachusetts","25","9","25009","NA","New_England","01","/MA/2. Water Usage by Facility_2000-2018.xlsx$2004, USEPA_HIFLD_EIA_PPP_facility_v7.csv"
"MA","WD",NA,"IN",NA,"1600 OSGOOD STREET LIMITED LIABILITY COMPANY","1600 OSGOOD STREET LIMITED LIABILITY COMPANY","1600 OSGOOD STREET LIMITED LIABILITY COMPANY","9P31321001","31321002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MERRIMACK",NA,"1600 Osgood St","North Andover","Essex","MA",NA,"1600 Osgood St","North Andover","ESSEX","MA",NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,"mgd","Metered",NA,NA,"E_110000309942","MA0001261","1600 OSGOOD STREET LLC","1600 OSGOOD ST.","1600 OSGOOD ST","UPDATED","NORTH ANDOVER","MA","ESSEX","01845-1035","DIFF","(508) 960-3489","42.73063","-71.11278","3342","COMMUNICATIONS EQUIPMENT MANUFACTURING","NA","NA","NA","NA","NA","NA","NA","01845 _ (508) 960-3489","NORTH ANDOVER_1600 OSGOOD ST","FRS","FRS, NPDES","N","Massachusetts","25","9","25009","NA","New_England","01","/MA/2. Water Usage by Facility_2000-2018.xlsx$2005, USEPA_HIFLD_EIA_PPP_facility_v7.csv"
"MA","WD",NA,"IN",NA,"AGGREGATE INDUSTRIES NORTHEAST REGION","AGGREGATE INDUSTRIES NORTHEAST REGION","AGGREGATE INDUSTRIES NORTHEAST REGION",NA,"21402802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONCORD",NA,"771 Donald Lynch Boulevard","Berlin","Worcester","MA",NA,"771 Donald Lynch Boulevard","Berlin","WORCESTER","MA",NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,"mgd","Metered",NA,NA,"E_110024454687","NA","AGGREGATE INDUSTRIES NORTHEAST REGION","771 DONALD LYNCH BLVD","771 DONALD LYNCH BOULEVARD","UPDATED","BERLIN","MA","WORCESTER","15030000","DIFF","NA","NA","NA","327320","READY-MIX CONCRETE MANUFACTURING.","NA","NA","NA","NA","NA","NA","NA","NA","BERLIN_771 DONALD LYNCH BOULEVARD","NA","FRS","Y","Massachusetts","25","27","25027","NA","New_England","NA","/MA/2. Water Usage by Facility_2000-2018.xlsx$2002, USEPA_HIFLD_EIA_PPP_facility_v7.csv"
"MA","WD",NA,"IN",NA,"AGGREGATE INDUSTRIES NORTHEAST REGION","AGGREGATE INDUSTRIES NORTHEAST REGION","AGGREGATE INDUSTRIES NORTHEAST REGION",NA,"21218604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLACKSTONE",NA,"105 Providence Road","Millbury","Worcester","MA",NA,"105 Providence Road","Millbury","WORCESTER","MA",NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"mgd","Metered",NA,NA,"E_110043909394","NA","AGGREGATE INDUSTRIES NORTHEAST REGION","105 PROVIDENCE RD","105 PROVIDENCE ROAD","UPDATED","MILLBURY","MA","WORCESTER","15270000","DIFF","NA","NA","NA","32732","READY-MIX CONCRETE MANUFACTURING","NA","NA","NA","NA","NA","NA","NA","NA","MILLBURY_105 PROVIDENCE ROAD","NA","FRS","Y","Massachusetts","25","27","25027","NA","New_England","NA","/MA/2. Water Usage by Facility_2000-2018.xlsx$2004, USEPA_HIFLD_EIA_PPP_facility_v7.csv"
"MA","WD",NA,"IN",NA,"AGGREGATE INDUSTRIES NORTHEAST REGION","AGGREGATE INDUSTRIES NORTHEAST REGION","AGGREGATE INDUSTRIES NORTHEAST REGION",NA,"21402802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONCORD",NA,"771 Donald Lynch Boulevard","Berlin","Worcester","MA",NA,"771 Donald Lynch Boulevard","Berlin","WORCESTER","MA",NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"mgd","Metered",NA,NA,"E_110024454687","NA","AGGREGATE INDUSTRIES NORTHEAST REGION","771 DONALD LYNCH BLVD","771 DONALD LYNCH BOULEVARD","UPDATED","BERLIN","MA","WORCESTER","15030000","DIFF","NA","NA","NA","327320","READY-MIX CONCRETE MANUFACTURING.","NA","NA","NA","NA","NA","NA","NA","NA","BERLIN_771 DONALD LYNCH BOULEVARD","NA","FRS","Y","Massachusetts","25","27","25027","NA","New_England","NA","/MA/2. Water Usage by Facility_2000-2018.xlsx$2004, USEPA_HIFLD_EIA_PPP_facility_v7.csv"
