"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","County2","State2","Zip2","Lat","Lon","Datum","Projection","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected","FIPS5code","SITESELECTION_FACILITYID","SITESELECTION_NPDES_ID","SITESELECTION_NAME","SITESELECTION_ADDRESS","SITESELECTION_ADDRESS_Fix","SITESELECTION_ADRSFLAG","SITESELECTION_CITY","SITESELECTION_STATE","SITESELECTION_COUNTY","SITESELECTION_ZIP","SITESELECTION_FLAGZIP","SITESELECTION_PHONE","SITESELECTION_LATITUDE","SITESELECTION_LONGITUDE","SITESELECTION_NAICS","SITESELECTION_NAICSDESCR","SITESELECTION_SIC","SITESELECTION_SICDESCR","SITESELECTION_FIPS","SITESELECTION_EMP","SITESELECTION_TotPerson","SITESELECTION_Area","SITESELECTION_AnnSaleVol","SITESELECTION_JobsReported","SITESELECTION_ZIP_PHONE","SITESELECTION_CITY_ADDRESS","SITESELECTION_LL_Src","SITESELECTION_DATASET_MATCHES_ALL2","SITESELECTION_NEW_REC","DataSource"
"ME","RL",NA,"IN",NA,"ACADIA AQUA FARMS LIMITED LIABILITY COMPANY STEWARDSHIP GEM INCORPORATED",NA,NA,"ME0037397",NA,NA,"JORDAN RIVER SALINE",NA,NA,NA,NA,NA,"All water is salt water used for mussel processing and cleaning.  Metered on the intake pipe.","1050002",NA,"10500021406",NA,NA,NA,NA,NA,"Trenton","Hancock",NA,NA,NA,NA,"Hancock",NA,NA,"44.461278","-68.355111","WGS84",NA,2019,7130000,6440000,7440000,7200000,7130000,6300000,6510000,6820000,6300000,6820000,6981000,6655700,"gal",NA,NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ME/ME_IN_WU_CAC.xlsx$wu_discharge, /ME/site_specific_data_20240619/site_specific_data_20240619/master_coeffs.csv"
"ME","WD","SW","IN","TRUE","ACADIA AQUA FARMS LIMITED LIABILITY COMPANY STEWARDSHIP GEM INCORPORATED",NA,NA,"ME0037397",NA,NA,"JORDAN RIVER SALINE",NA,NA,NA,NA,NA,"All water is salt water used for mussel processing and cleaning.  Metered on the intake pipe.","1050002",NA,"10500021406",NA,NA,NA,NA,NA,"Trenton","Hancock",NA,NA,NA,NA,"Hancock",NA,NA,"44.461278","-68.355111","WGS84",NA,2019,7130000,6440000,7440000,7200000,7130000,6300000,6510000,6820000,6300000,6820000,6981000,6655700,"gal",NA,NA,NA,"Estimated","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ME/ME_IN_WU_CAC.xlsx$wu_monthly_recombined, /ME/site_specific_data_20240619/site_specific_data_20240619/master_coeffs.csv"
"ME","RL",NA,"IN",NA,"ACADIA AQUA FARMS LIMITED LIABILITY COMPANY STEWARDSHIP GEM INCORPORATED",NA,NA,"ME0037397",NA,NA,"JORDAN RIVER SALINE",NA,NA,NA,NA,NA,"All water is salt water used for mussel processing and cleaning.  Metered on the intake pipe.","1050002",NA,"10500021406",NA,NA,NA,NA,NA,"Trenton","Hancock",NA,NA,NA,NA,"Hancock",NA,NA,"44.461278","-68.355111","WGS84",NA,2020,7130000,6670000,6200000,30000,3887400,3492000,3255000,3534000,2271000,NA,1560000,1860000,"gal",NA,NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ME/ME_IN_WU_CAC.xlsx$wu_discharge, /ME/site_specific_data_20240619/site_specific_data_20240619/master_coeffs.csv"
"ME","WD","SW","IN","TRUE","ACADIA AQUA FARMS LIMITED LIABILITY COMPANY STEWARDSHIP GEM INCORPORATED",NA,NA,"ME0037397",NA,NA,"JORDAN RIVER SALINE",NA,NA,NA,NA,NA,"All water is salt water used for mussel processing and cleaning.  Metered on the intake pipe.","1050002",NA,"10500021406",NA,NA,NA,NA,NA,"Trenton","Hancock",NA,NA,NA,NA,"Hancock",NA,NA,"44.461278","-68.355111","WGS84",NA,2020,7130000,6670000,6200000,30000,3887400,3492000,3255000,3534000,2271000,NA,1560000,1860000,"gal",NA,NA,NA,"Estimated","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ME/ME_IN_WU_CAC.xlsx$wu_monthly_recombined, /ME/site_specific_data_20240619/site_specific_data_20240619/master_coeffs.csv"
"ME","RL",NA,"IN",NA,"ACADIA AQUA FARMS LIMITED LIABILITY COMPANY STEWARDSHIP GEM INCORPORATED",NA,NA,"ME0037397",NA,NA,"JORDAN RIVER SALINE",NA,NA,NA,NA,NA,"All water is salt water used for mussel processing and cleaning.  Metered on the intake pipe.","1050002",NA,"10500021406",NA,NA,NA,NA,NA,"Trenton","Hancock",NA,NA,NA,NA,"Hancock",NA,NA,"44.461278","-68.355111","WGS84",NA,2021,1894100,1632400,1810400,1842000,1819700,1782000,1949900,1847600,1794000,1869300,1800000,2108000,"gal",NA,NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ME/ME_IN_WU_CAC.xlsx$wu_discharge, /ME/site_specific_data_20240619/site_specific_data_20240619/master_coeffs.csv"
"ME","WD","SW","IN","TRUE","ACADIA AQUA FARMS LIMITED LIABILITY COMPANY STEWARDSHIP GEM INCORPORATED",NA,NA,"ME0037397",NA,NA,"JORDAN RIVER SALINE",NA,NA,NA,NA,NA,"All water is salt water used for mussel processing and cleaning.  Metered on the intake pipe.","1050002",NA,"10500021406",NA,NA,NA,NA,NA,"Trenton","Hancock",NA,NA,NA,NA,"Hancock",NA,NA,"44.461278","-68.355111","WGS84",NA,2021,1894100,1632400,1810400,1842000,1819700,1782000,1949900,1847600,1794000,1869300,1800000,2108000,"gal",NA,NA,NA,"Estimated","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ME/ME_IN_WU_CAC.xlsx$wu_monthly_recombined, /ME/site_specific_data_20240619/site_specific_data_20240619/master_coeffs.csv"
"ME","RL",NA,"IN",NA,"ACADIA AQUA FARMS LIMITED LIABILITY COMPANY STEWARDSHIP GEM INCORPORATED",NA,NA,"ME0037397",NA,NA,"JORDAN RIVER SALINE",NA,NA,NA,NA,NA,"All water is salt water used for mussel processing and cleaning.  Metered on the intake pipe.","1050002",NA,"10500021406",NA,NA,NA,NA,NA,"Trenton","Hancock",NA,NA,NA,NA,"Hancock",NA,NA,"44.461278","-68.355111","WGS84",NA,2022,2803020,2763600,3199200,3222000,3377760,3294000,3431700,3354200,3357000,3033660,3133500,3149600,"gal",NA,NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ME/ME_IN_WU_CAC.xlsx$wu_discharge, /ME/site_specific_data_20240619/site_specific_data_20240619/master_coeffs.csv"
"ME","WD","SW","IN","TRUE","ACADIA AQUA FARMS LIMITED LIABILITY COMPANY STEWARDSHIP GEM INCORPORATED",NA,NA,"ME0037397",NA,NA,"JORDAN RIVER SALINE",NA,NA,NA,NA,NA,"All water is salt water used for mussel processing and cleaning.  Metered on the intake pipe.","1050002",NA,"10500021406",NA,NA,NA,NA,NA,"Trenton","Hancock",NA,NA,NA,NA,"Hancock",NA,NA,"44.461278","-68.355111","WGS84",NA,2022,2803020,2763600,3199200,3222000,3377760,3294000,3431700,3354200,3357000,3033660,3133500,3149600,"gal",NA,NA,NA,"Estimated","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ME/ME_IN_WU_CAC.xlsx$wu_monthly_recombined, /ME/site_specific_data_20240619/site_specific_data_20240619/master_coeffs.csv"
"ME",NA,NA,"CO",NA,"BAKER MOUNTAIN",NA,NA,"1",NA,NA,"NONE",NA,NA,NA,NA,NA,"Baker Mountain has no snowmaking.",NA,NA,NA,NA,NA,NA,NA,NA,"Moscow","Somerset",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS84",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"gal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ME/ME_IN_WU_CAC.xlsx$final_snowmaking_CAC"
"ME",NA,NA,"CO",NA,"BAKER MOUNTAIN",NA,NA,"1",NA,NA,"NONE",NA,NA,NA,NA,NA,"Baker Mountain has no snowmaking.",NA,NA,NA,NA,NA,NA,NA,NA,"Moscow","Somerset",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGS84",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"gal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ME/ME_IN_WU_CAC.xlsx$final_snowmaking_CAC"
